id;productnaam;productomschrijving;merk;img;link;oudeprijs;nieuweprijs;kleur;specialeactie;exclusief;uitverkocht;dames;heren;junior;fashion;outdoor;reizencamping;fietsenlopen;gadgets;uitrusting;categorie;volgorde;actie
;Jacquelina;Blazer;CKS;CKS_JAQUELINEA_4141D52036_5252.jpg;;79,99;55;cksblazer.jpg;;1;;1;;;1;;;;;;fashion;;
;Jumpsuit;;Yaya;YAYA_JUMPSUIT_4198D52016_7010.jpg;;89,95;59;#4C5059 marmer.jpg;;1;;1;;;1;;;;;;fashion;;
;Balance;Cross Dress;King Louie;KING-LOUIE_BALANCE_4162D52032_3911.jpg;;79,99;55;balance.jpg;;1;;1;;;1;;;;;;fashion;;
;Nara;Cross Dress;King Louie;KING-LOUIE_NARA_4162D52033_4465.jpg;;79,99;55;nara.jpg;;1;;1;;;1;;;;;;fashion;;
;Flower Lurex;Cardigan;King Louie;KING-LOUIE_FLOWER-LUREX_4144D52101_4444.jpg;;69,99;49;#404F7F #CD1F62;;1;;1;;;1;;;;;;fashion;;
;Date;Horloge;Wewood;;;;99,95;#B68A6E;In de kijker;;;1;1;;1;;;;1;;fashion;;
;Bird is the word;Juwelenrekje;Kikkerland;KIKKERLAND_BIRD-IS-THE-WORD_2g31c50007_7070_01_be.jpg;;;8,95;#000;In de kijker;;;1;;;;;;;1;;fashion;;
;Timmy;Jas;Premium;PREMIUM_TIMMY_4355D52026_3939.jpg;;;49,99;#4B4858 #D26F6F #1E1E20;Slechts;;;;1;;1;;;;;;fashion;;
;Hemd;;Dstrezzed;DESTREZZED_HEMD_4331D52232_7103.jpg;;79,95;49;hemd1.jpg hemd2.jpg;;;;;1;;1;;;;;;fashion;;
;Trui;;Blend;BLEND_TRUI_4349D52042_4110.jpg;;69,95;49;sneeuw.jpg;;;;;1;;1;;;;;;fashion;;
;Tri;Jacket;Ichi;ICHI_TRI_4153D52055_4151.jpg;;149;99;ichiruit1.jpg ichiruit2.jpg;;1;;1;;;1;;;;;;fashion;;
;Greenland No 1;Donsjas;Fjallraven;FJALLRAVEN_GREENLAND_33A2D40010_4142.jpg;;;499,95;greenland.jpg;;;;;1;;1;1;;;;;fashion;;
;Portefeuille;;Camel Active;CAMEL-ACTIVE-BAGS_PORTEFEUILLE_2392c52011_6161_02_be.jpg;;49,95;25;#50423F #845139;;;;;1;;1;;;;1;;fashion;;
;Zonnebril;;Ray-Ban;;;;124,95;;Vanaf;;;1;1;;1;;;;1;;fashion;;
;Borealis Classic ;Dagrugzak;The North Face;THE-NORTH-FACE_BOREALIS_2111D50014_7071;;79,95;59; #322B32 borblauw;;;;1;1;;;;1;;;1;fashion;;
;Tilton Mid Leather Gore-Tex;Schoen;Timberland;TIMBERLAND_TILTON-MID-LATHER-GTX-WOMEN_3716D52002_6235.jpg;;119,95;85;timberdames.jpg;;;;1;;;;1;;;;;trekking;;
;Mount Adams Mid Waterproof;Schoen;Timberland;TIMBERLAND_MOUNT-ADAMS-MID-WATERPROOF_3726D52002_6161.jpg;;125,95;89;timberheren.jpg;;;;;1;;;1;;;;;trekking;;
;Highland;Padded;Ayacucho;AYACUCHO_HIGHLAND-PADDED_3353D52016_4747.jpg;;;169,95;#26657E #CA4B3A;In de kijker;;;;1;;;1;;;;;trekking;;
;Nordic Wood;Sweater;Ayacucho;AYACUCHO_NORDIC-WOOD_3325D52007_7171.jpg;;;69,95;;In de kijker;;;;1;;1;1;;;;;trekking;;
;Inverno 280;Fleece;Ayacucho;AYACUCHO_INVERNO-280_3124d42016_4949_02_be.jpg;;59,95;39,95;inverno.jpg;;;;1;;;;1;;;;;trekking;;
;Porter 46;Travelpack;Osprey;OSPREY_PORTER-46_2221d42002_7071_01_be.jpg;;109,95;75;#3A3635;;;;1;1;;;1;1;;;1;trekking;;
;Stowaway;Coat;Ayacucho;AYACUCHO_STOWAWAY-COAT_3157d52001_7303_01_be.jpg;;;74,95;stow1.jpg stow2.jpg;In de kijker;;;1;;;1;1;;;;;trekking;;
;Mojave;Rugzak 28l;Ayacucho;AYACUCHO_MOJAVE-28-II_1212c10002_7070_02_Ver1.jpg;;64,95;39;moj.jpg;;;;1;1;;;;1;;;1;trekking;;
;Signal;Multitool;Leatherman;LEATHERMAN_SIGNAL_2C41D52001_7015.jpg;;;179,95;;;;;;;;;;1;;1;1;trekking;;
