id;"productnaam";"productomschrijving";"merk";"img";"link";"oudeprijs";"nieuweprijs";"kleur";"specialeactie";exclusief;uitverkocht;dames;heren;junior;fashion;outdoor;uitrusting;fietsenlopen;gadgets;"categorie";volgorde;actie;binnenkort
1;"Merino Hiker";"Kousen";"BRIDGEDALE";"test";"test";"";"19,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
2;"Merino Hiker";"Kousen";"BRIDGEDALE";"test";"test";"";"19,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
3;"Merino Hiker";"Kousen";"BRIDGEDALE";"test";"test";"";"19,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
4;"Trailrider Texapore";"Dames schoen";"JACK WOLFSKIN";"test";"test";"89";"124,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
5;"Trailrider Texapore";"Heren schoen";"JACK WOLFSKIN";"test";"test";"89";"124,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
6;"Arco";"Fleece";"JACK WOLFSKIN";"test";"test";"39";"69,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
7;"Nordfjord";"Jas";"JACK WOLFSKIN";"test";"test";"119";"159,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
8;"Nordfjord";"Jas";"JACK WOLFSKIN";"test";"test";"119";"159,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
9;"5TH Avenue";"Jas";"JACK WOLFSKIN";"test";"test";"179";"259,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
10;"Greta";"Parka";"DIDRIKSONS";"test";"test";"199";"329,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
11;"Roverg";"Fleece";"REGATTA";"test";"test";"39";"59,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
12;"Roverg";"Fleece";"REGATTA";"test";"test";"39";"59,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
13;"Tevorg";"Fleece";"REGATTA";"test";"test";"39";"59,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
14;"Tevorg";"Fleece";"REGATTA";"test";"test";"39";"59,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
15;"Lanar";"Fleece";"REGATTA";"test";"test";"39";"59,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
16;"Lanar";"Fleece";"REGATTA";"test";"test";"39";"59,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
17;"Lanar";"Fleece";"REGATTA";"test";"test";"39";"59,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"outdoor";0;NULL;NULL
18;"";"OUTDOOR GPS";"GARMIN";"test";"test";"";"";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"reizen";0;NULL;NULL
19;"Knitted Nordic";"Pull";"CMP";"test";"test";"79";"109,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"sneeuw";0;NULL;NULL
20;"Knitted Nordic";"Pull";"CMP";"test";"test";"79";"109,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"sneeuw";0;NULL;NULL
21;"Knitted Nordic";"Pull";"CMP";"test";"test";"79";"109,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"sneeuw";0;NULL;NULL
22;"Janna";"Sjaal";"BARTS";"test";"test";"";"34,99";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"sneeuw";0;NULL;NULL
23;"Janna";"Muts";"BARTS";"test";"test";"";"29,99";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"sneeuw";0;NULL;NULL
24;"Mike";"Muts";"BARTS";"test";"test";"";"24,99";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"sneeuw";0;NULL;NULL
25;"Mike";"Sjaal";"BARTS";"test";"test";"";"34,99";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"sneeuw";0;NULL;NULL
26;"Wine";"Cup Set";"MIZU";"test";"test";"25";"39,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"reizen";0;NULL;NULL
27;"Wine";"Cup Set";"MIZU";"test";"test";"25";"39,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"reizen";0;NULL;NULL
28;"Wine";"Cup Set";"MIZU";"test";"test";"25";"39,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"reizen";0;NULL;NULL
29;"Wine";"Cup Set";"MIZU";"test";"test";"25";"39,95";"";"";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"reizen";0;NULL;NULL
